OBJECTID,PC4,Aantal_adreslocaties,Aantal_multiparts,SHAPE_Length,SHAPE_Area
1029,3342,2935,1,0.137898494911201,0.000485791684294406
1030,3343,2843,3,0.105968446519663,0.000213754665076027
1031,3344,3848,1,0.0809088111086112,0.000183116944304464
1032,3351,4810,1,0.0804048082689113,0.000326900036537861
1033,3352,1460,1,0.0482736387676568,0.000131794122175491
1034,3353,3467,1,0.0669189982253102,0.000130923817288649
1035,3354,1338,2,0.043794213586591,7.75740176221562e-05
1036,3355,2553,1,0.0543635409141035,0.000143053453171666
1037,3356,2779,1,0.108566210472883,0.000587783140436369
1038,3361,3283,1,0.211312246031622,0.000353271467101644
1039,3362,5545,1,0.0822243263835692,0.00020895714976846
1040,3363,3436,1,0.10827062089921,0.000220048503848455
1041,3364,567,3,0.178928420402741,0.00090250287173199
1042,3366,304,1,0.212176730307182,0.00100707837335344
1043,3371,6005,1,0.194108093277664,0.000752596904924787
1044,3372,2112,1,0.186397397068339,0.000823420291487189
1045,3373,417,1,0.135685428688791,0.000956558064339341
1046,3381,2187,1,0.2559354683704,0.00317116340690048
1047,3382,1,1,0.000371124899409558,1.19512375972931e-09
1048,3401,6177,1,0.295023819581338,0.00126839898232519
1049,3402,4519,1,0.17935778606307,0.000669415338422488
1050,3403,817,2,0.22296458338753,0.00122392475293171
1051,3404,4005,1,0.0764892674529821,0.000199531231249754
1052,3405,1609,1,0.307674424145367,0.00299151011417084
1053,3411,3712,1,0.420682128260661,0.00424357589181251
1054,3412,596,1,0.187764519823677,0.00109883905370356
1055,3413,127,1,0.0432970846488693,5.93122278171707e-05
1056,3415,545,1,0.178287815767647,0.00152869776366901
1057,3417,4711,1,0.348583595942512,0.00271989337791418
1058,3421,4080,1,0.405400175772858,0.00259961629462053
1059,3425,312,1,0.175286203562539,0.00128473823885707
1060,3431,4781,1,0.0589754606798315,0.000157942565757546
1061,3432,3282,1,0.105945492515086,0.00026192901669887
1062,3433,2167,1,0.163862458314636,0.000606286002343223
1063,3434,4017,1,0.112419301614153,0.00031569821890139
1064,3435,2867,1,0.0605453752743305,0.000177052763118399
1065,3436,2647,1,0.0572831310421139,0.000147828084762262
1066,3437,6237,3,0.132025517952832,0.000436450952247368
1067,3438,4679,1,0.107784495309282,0.000399801348964447
1068,3439,2455,1,0.209258207506022,0.000929555404354613
1069,3441,1952,1,0.039196386262614,6.91241285068629e-05
1070,3442,2230,1,0.076672029079294,0.000108657207389539
1071,3443,4012,1,0.204620037024656,0.000863878131882306
1072,3444,128,7,0.150111206938344,0.000201796064449363
1073,3445,2357,1,0.143057831656753,0.000362456217956127
